realization	parameter	index	value
0	kd	0	
0	kd	1	
0	kd	2	
0	kd	3	
0	kd	4	
0	kd	5	
0	kd	6	
0	kd	7	
0	kd	8	
0	kd	9	
0	kd	10	
0	kf	0	0.4686871284027182
0	kf	1	0.6846129853566774
0	kf	2	1.0
0	kf	3	0.4990201826715611
0	kf	4	0.6212975631966143
0	kf	5	0.20078219073803158
0	kf	6	0.28268530663161756
0	kf	7	0.4860710421720489
0	kf	8	0.3552589132871812
0	kf	9	0.023797803084960614
0	kf	10	0.11575172992565773
1	kd	0	
1	kd	1	
1	kd	2	
1	kd	3	
1	kd	4	
1	kd	5	
1	kd	6	
1	kd	7	
1	kf	0	0.002551480092550895
1	kf	1	1.0
1	kf	2	0.9092984335605414
1	kf	3	0.38875963350453147
1	kf	4	0.07340942374316183
1	kf	5	0.24919095526265647
1	kf	6	0.9093809936073836
1	kf	7	0.6807090844030668
2	kd	0	
2	kd	1	
2	kd	2	
2	kd	3	
2	kd	4	
2	kd	5	
2	kf	0	0.5547299769748154
2	kf	1	0.977918122661881
2	kf	2	0.05009554376622687
2	kf	3	1.0
2	kf	4	0.3647745999756068
2	kf	5	0.7204733819137029
3	kd	0	
3	kd	1	
3	kd	2	
3	kd	3	
3	kd	4	
3	kd	5	
3	kd	6	
3	kd	7	
3	kd	8	
3	kd	9	
3	kf	0	0.29348133843380175
3	kf	1	0.11959787087403474
3	kf	2	0.7090394853129744
3	kf	3	0.33546796213920244
3	kf	4	0.009295921808437392
3	kf	5	0.5140722571883659
3	kf	6	0.10051401588814099
3	kf	7	0.7079104021939018
3	kf	8	0.7857407905889815
3	kf	9	1.0
4	kd	0	
4	kd	1	
4	kf	0	0.7083571398923963
4	kf	1	1.0
5	kd	0	
5	kd	1	
5	kd	2	
5	kd	3	
5	kd	4	
5	kd	5	
5	kd	6	
5	kd	7	
5	kf	0	0.8871407802962403
5	kf	1	1.0
5	kf	2	0.2445382814416495
5	kf	3	0.838773648866262
5	kf	4	0.6070380903445636
5	kf	5	0.38071082242243814
5	kf	6	0.6071731799956129
5	kf	7	0.891977563430626
6	kd	0	
6	kd	1	
6	kd	2	
6	kd	3	
6	kd	4	
6	kd	5	
6	kf	0	0.22002425233054865
6	kf	1	0.47356147510122565
6	kf	2	0.4751739980963329
6	kf	3	0.7584829338495588
6	kf	4	0.5577711546470167
6	kf	5	1.0
7	kd	0	
7	kd	1	
7	kd	2	
7	kd	3	
7	kf	0	0.8466703302899715
7	kf	1	1.0
7	kf	2	0.937951865157061
7	kf	3	0.33352138759378214
8	kd	0	
8	kd	1	
8	kd	2	
8	kd	3	
8	kd	4	
8	kd	5	
8	kd	6	
8	kd	7	
8	kf	0	0.33948164424143285
8	kf	1	0.693545920040721
8	kf	2	1.0
8	kf	3	0.2211861392812047
8	kf	4	0.23192675366665247
8	kf	5	0.3686737114799434
8	kf	6	0.3764080262042888
8	kf	7	0.8102443108126081
9	kd	0	
9	kd	1	
9	kd	2	
9	kd	3	
9	kd	4	
9	kd	5	
9	kd	6	
9	kd	7	
9	kf	0	0.10497546710147711
9	kf	1	0.25480429496350065
9	kf	2	0.2429847332336408
9	kf	3	0.037049186465765126
9	kf	4	0.4923564884106751
9	kf	5	0.35315894696581446
9	kf	6	0.18415650113816232
9	kf	7	1.0
10	kd	0	
10	kd	1	
10	kd	2	
10	kd	3	
10	kd	4	
10	kd	5	
10	kd	6	
10	kd	7	
10	kd	8	
10	kd	9	
10	kd	10	
10	kf	0	0.47418523411947366
10	kf	1	0.26642161004521675
10	kf	2	0.369734245974819
10	kf	3	1.0
10	kf	4	0.45327606543290416
10	kf	5	0.7465339913390308
10	kf	6	0.45997369837185087
10	kf	7	0.6345124755552985
10	kf	8	0.5574581010117557
10	kf	9	0.9140946988941064
10	kf	10	0.9091127909375312
11	kd	0	
11	kd	1	
11	kd	2	
11	kd	3	
11	kd	4	
11	kd	5	
11	kd	6	
11	kd	7	
11	kd	8	
11	kd	9	
11	kf	0	0.03548728593917321
11	kf	1	0.004584302086798653
11	kf	2	0.2716792734188501
11	kf	3	0.9484026304779822
11	kf	4	0.28198928023672043
11	kf	5	1.0
11	kf	6	0.4336051200489821
11	kf	7	0.7526273268638738
11	kf	8	0.4154518757436866
11	kf	9	0.8138912630245864
12	kd	0	
12	kd	1	
12	kd	2	
12	kd	3	
12	kd	4	
12	kd	5	
12	kd	6	
12	kd	7	
12	kd	8	
12	kd	9	
12	kf	0	0.30475545256770403
12	kf	1	0.7834358970002143
12	kf	2	0.32469237305800935
12	kf	3	0.15392766473813152
12	kf	4	0.40352527878001754
12	kf	5	0.027885436672200566
12	kf	6	0.8790777171919272
12	kf	7	1.0
12	kf	8	0.24176951404681848
12	kf	9	0.8609754341508834
13	kd	0	
13	kd	1	
13	kd	2	
13	kd	3	
13	kd	4	
13	kf	0	0.8857942896338769
13	kf	1	0.165368545946487
13	kf	2	1.0
13	kf	3	0.8923248198931405
13	kf	4	0.20000979913304065
